PRO_COM,comune,elettori,perc_h12,perc_h19,perc_h22
86002,Aidone,6581,5.21,20.8,28.98
86003,Assoro,5564,9.67,33.02,46.37
86004,Barrafranca,17119,4.96,21.3,30.11
86005,Calascibetta,6123,6.47,24.27,35.11
86006,Catenanuova,5448,7.76,27.92,37.19
86007,Centuripe,6996,8.18,32.75,41.19
86008,Cerami,3023,6.22,29.87,38.04
86009,Enna,26872,10.55,35.92,50.39
86010,Gagliano Castelferrato,3702,6.21,28.12,40.63
86011,Leonforte,15597,7.53,27.18,39.4
86012,Nicosia,14171,8.38,28.81,44.49
86013,Nissoria,4171,7.74,28.46,39.37
86014,Piazza Armerina,22947,9.46,31.27,40.42
86015,Pietraperzia,10531,4.99,19.68,27.04
86016,Regalbuto,9776,5.51,22.34,28.67
86017,Sperlinga,901,8.88,42.06,52.72
86018,Troina,9788,9.33,32.93,45.81
86019,Valguarnera Caropepe,12819,5.37,21.44,28.04
86020,Villarosa,8690,4.22,16.62,23.37
83107,Acquedolci,4980,10.6,41.02,56.95
83001,Alcara Li Fusi,2443,8.56,35.37,45.89
83002,Alì,948,8.54,33.12,40.51
83003,Alì Terme,2286,13.39,41.43,50.61
83004,Antillo,904,16.15,50.66,60.07
83005,Barcellona Pozzo di Gotto,36824,12.01,44.6,56.46
83006,Basicò,1349,3.63,18.9,22.98
83007,Brolo,5077,16.25,56.59,68.68
83008,Capizzi,3542,9.35,37.07,47.54
83009,Capo d'Orlando,12957,11.35,37.44,49.94
83010,Caprileone,4233,13.06,48.71,62.04
83011,Caronia,3225,9.77,37.27,47.01
83012,Casalvecchio Siculo,950,8.11,37.68,47.05
83013,Castel Di Lucio,1953,4.86,25.65,38.76
83014,Castell'Umberto,2993,8.89,47.51,59.44
83015,Castelmola,1012,13.14,44.27,54.45
83016,Castroreale,2420,7.52,40.45,53.84
83017,Cesarò,2604,5.45,34.14,49.16
83018,Condrò,524,12.6,47.9,57.63
83019,Falcone,3298,9.79,35.96,44.51
83020,Ficarra,1487,10.09,44.38,57.03
83021,Fiumedinisi,1450,6.69,30.41,45.1
83022,Floresta,426,15.26,48.36,61.03
83023,Fondachelli Fantina,1011,17.71,60.53,67.85
83024,Forza d'Agrò,1004,8.47,33.37,45.72
83025,Francavilla Di Sicilia,4320,8.1,31.97,42.71
83026,Frazzanò,866,3.58,30.72,41.45
83027,Furci Siculo,3114,16.99,51.12,59.18
83028,Furnari,4241,8.28,33.6,42.02
83029,Gaggi,3008,9.67,34.21,45.64
83030,Galati Mamertino,2645,11.53,46.01,56.64
83031,Gallodoro,418,7.89,39.23,46.41
83032,Giardini Naxos,9053,12.05,35.34,43.89
83033,Gioiosa Marea,6741,11.65,42.22,53.03
83034,Graniti,1633,11.08,43.6,55.54
83035,Gualtieri Sicaminò,1816,11.51,50.44,61.07
83036,Itala,1455,13.54,45.77,55.19
83037,Leni,759,4.61,30.3,38.08
83038,Letojanni,2442,14.25,43.04,52.7
83039,Librizzi,1952,6.92,35.5,47.85
83040,Limina,1658,5.85,22.92,28.29
83041,Lipari,12296,9.06,29.83,37.27
83042,Longi,1434,9.34,42.89,60.25
83043,Malfa,999,7.51,27.63,35.54
83044,Malvagna,884,6.33,30.09,40.27
83045,Mandanici,722,11.91,39.75,47.37
83046,Mazzarrà Sant'Andrea,1507,15.99,55.14,65.1
83047,Merì,2058,11.47,42.57,61.47
83048,Messina,197470,14.9,41.97,51.13
83049,Milazzo,27782,13.03,41.51,55.77
