comune,elettori,votanti,percentuale
Agrigento,52894,21219,40.12
Alessandria della Rocca,4296,859,20
Aragona,15128,3531,23.34
Bivona,3941,1451,36.82
Burgio,3500,959,27.4
Calamonaci,1897,474,24.99
Caltabellotta,3890,1213,31.18
Camastra,2511,890,35.44
Cammarata,5395,2147,39.8
Campobello di Licata,10679,3024,28.32
Canicattì,32265,10603,32.86
Casteltermini,12479,3315,26.56
Castrofilippo,4133,778,18.82
Cattolica Eraclea,7058,1742,24.68
Cianciana,6729,1176,17.48
Comitini,1811,360,19.88
Favara,34778,11047,31.76
Grotte,9606,2225,23.16
Joppolo Giancaxio,1946,519,26.67
Lampedusa e Linosa,5399,1121,20.76
Licata,42703,9508,22.27
Lucca Sicula,2195,681,31.03
Menfi,12795,4193,32.77
Montallegro,3664,1011,27.59
Montevago,3111,1252,40.24
Naro,10525,2701,25.66
Palma di Montechiaro,26381,6026,22.84
Porto Empedocle,16716,6092,36.44
Racalmuto,10700,2499,23.36
Raffadali,13831,4623,33.42
Ravanusa,14855,3620,24.37
Realmonte,5205,1723,33.1
Ribera,20181,6600,32.7
Sambuca di Sicilia,5645,2378,42.13
San Biagio Platani,5740,1149,20.02
San Giovanni Gemini,7412,2814,37.97
Sant'Angelo Muxaro,3314,493,14.88
Santa Elisabetta,4713,765,16.23
Santa Margherita di Belice,6541,1982,30.3
Santo Stefano Quisquina,4678,1395,29.82
Sciacca,35783,13705,38.3
Siculiana,5591,1752,31.34
Villafranca Sicula,1382,494,35.75
Acquaviva Platani,3110,406,13.05
Bompensiere,1135,256,22.56
Butera,5874,1468,24.99
Caltanissetta,56558,21760,38.47
Campofranco,3201,1083,33.83
Delia,6971,1334,19.14
Gela,65937,20779,31.51
Marianopoli,2154,511,23.72
Mazzarino,11939,3985,33.38
Milena,3867,1294,33.46
Montedoro,2846,596,20.94
Mussomeli,11703,4411,37.69
Niscemi,25199,6406,25.42
Resuttano,2632,612,23.25
Riesi,15297,3109,20.32
San Cataldo,24941,7153,28.68
Santa Caterina Villarmosa,6889,1569,22.78
Serradifalco,8631,2686,31.12
Sommatino,11345,1923,16.95
Sutera,2726,643,23.59
Vallelunga Pratameno,3491,877,25.12
Villalba,1925,494,25.66
Aci Bonaccorsi,2915,1515,51.97
Aci Castello,16193,7793,48.13
Aci Catena,24140,11053,45.79
Aci Sant'Antonio,14956,7207,48.19
Acireale,45765,22591,49.36
Adrano,35534,11102,31.24
Belpasso,22848,10255,44.88
Biancavilla,21537,7677,35.65
Bronte,19007,6417,33.76
Calatabiano,5362,1778,33.16
Caltagirone,34842,15457,44.36
Camporotondo Etneo,3968,2120,53.43
Castel di Judica,4280,1800,42.06
Castiglione di Sicilia,4186,1077,25.73
Catania,264764,97598,36.86
Fiumefreddo di Sicilia,9054,2969,32.79
Giarre,24910,8853,35.54
Grammichele,14235,3501,24.59
Gravina di Catania,21784,10155,46.62
Licodia Eubea,3582,828,23.12
Linguaglossa,5435,1872,34.44
Maletto,4702,1341,28.52
Maniace,2969,1253,42.2
Mascali,12613,5303,42.04
Mascalucia,26121,12442,47.63
Mazzarrone,2972,915,30.79
Militello in Val di Catania,8196,3058,37.31
Milo,1032,442,42.83
Mineo,7408,1555,20.99
Mirabella Imbaccari,9153,1755,19.17
Misterbianco,40255,16830,41.81
Motta Sant'Anastasia,9749,4589,47.07
Nicolosi,6361,3099,48.72
Palagonia,15586,4646,29.81
Paternò,41325,15756,38.13
Pedara,12103,6221,51.4
Piedimonte Etneo,4500,1577,35.04
Raddusa,3834,1190,31.04
Ragalna,3330,1732,52.01
Ramacca,10294,3781,36.73
Randazzo,11634,3655,31.42
Riposto,13699,5376,39.24
San Cono,3536,813,22.99
San Giovanni La Punta,19290,9738,50.48
San Gregorio di Catania,9886,5319,53.8
San Michele di Ganzaria,4291,1018,23.72
San Pietro Clarenza,6260,3018,48.21
Sant'Agata Li Battiati,8228,4327,52.59
Sant'Alfio,1647,576,34.97
Santa Maria di Licodia,6613,2463,37.24
Santa Venerina,7332,3473,47.37
Scordia,16033,5274,32.89
Trecastagni,9044,4671,51.65
Tremestieri Etneo,17106,8608,50.32
Valverde,6489,3190,49.16
Viagrande,7176,3388,47.21
Vizzini,7955,2246,28.23
Zafferana Etnea,8267,3796,45.92
Agira,10561,2347,22.22
Aidone,6581,1369,20.8
Assoro,5564,1837,33.02
Barrafranca,17119,3647,21.3
Calascibetta,6123,1486,24.27
Catenanuova,5448,1521,27.92
Centuripe,6996,2291,32.75
Cerami,3023,903,29.87
Enna,26872,9653,35.92
Gagliano Castelferrato,3702,1041,28.12
Leonforte,15597,4239,27.18
Nicosia,14171,4083,28.81
Nissoria,4171,1187,28.46
Piazza Armerina,22947,7175,31.27
