comune,elettori,votanti,percentuale
Agira,10561,3377,31.98
Aidone,6581,1907,28.98
Assoro,5564,2581,46.39
Barrafranca,17119,5154,30.11
Calascibetta,6123,2150,35.11
Catenanuova,5448,2026,37.19
Centuripe,6996,2882,41.19
Cerami,3023,1150,38.04
Enna,26872,13540,50.39
Gagliano Castelferrato,3702,1504,40.63
Leonforte,15597,6145,39.4
Nicosia,14171,6304,44.49
Nissoria,4171,1642,39.37
Piazza Armerina,22947,9277,40.43
Pietraperzia,10531,2848,27.04
Regalbuto,9776,2805,28.69
Sperlinga,901,475,52.72
Troina,9788,4484,45.81
Valguarnera Caropepe,12819,3594,28.04
Villarosa,8690,2031,23.37
