comune,elettori,votanti,percentuale
Acquaviva Platani,3110,525,16.88
Bompensiere,1135,341,30.04
Butera,5874,1983,33.76
Caltanissetta,56558,27842,49.23
Campofranco,3201,1459,45.58
Delia,6971,1759,25.23
Gela,65937,27040,41.01
Marianopoli,2154,823,38.21
Mazzarino,11939,5371,44.99
Milena,3867,1683,43.52
Montedoro,2846,777,27.3
Mussomeli,11703,6026,51.49
Niscemi,25199,8714,34.58
Resuttano,2632,899,34.16
Riesi,15297,4339,28.37
San Cataldo,24941,10113,40.55
Santa Caterina Villarmosa,6889,2227,32.33
Serradifalco,8631,3438,39.83
Sommatino,11345,2558,22.55
Sutera,2726,795,29.16
Vallelunga Pratameno,3491,1414,40.5
Villalba,1925,755,39.22
