comune,elettori,votanti,percentuale
Ferla,2506,False,False
Floridia,19821,False,False
Francofonte,12619,False,False
Lentini,21896,False,False
Melilli,12220,False,False
Noto,20851,False,False
Pachino,20987,False,False
Palazzolo Acreide,8635,False,False
Portopalo di Capo Passero,3380,False,False
Priolo Gargallo,10244,False,False
Rosolini,19862,False,False
Siracusa,103322,False,False
Solarino,7548,False,False
Sortino,8208,False,False
Alcamo,40100,False,False
Buseto Palizzolo,2871,False,False
Calatafimi Segesta,7112,False,False
Campobello di Mazara,11793,False,False
Castellammare del Golfo,14802,False,False
Castelvetrano,28173,False,False
Custonaci,4793,False,False
Erice,24527,False,False
Favignana,4383,False,False
Gibellina,4029,False,False
Marsala,70000,False,False
Mazara del Vallo,43522,False,False
Paceco,9975,False,False
Pantelleria,6504,False,False
Partanna,10131,False,False
Petrosino,6585,False,False
Poggioreale,1670,False,False
Salaparuta,1835,False,False
Salemi,10122,False,False
San Vito Lo Capo,5212,False,False
Santa Ninfa,4491,False,False
Trapani,59878,False,False
Valderice,10605,False,False
Vita,2017,False,False
