comune,elettori,votanti,percentuale
Alcamo,40100,20725,51.68
Buseto Palizzolo,2871,1304,45.42
Calatafimi Segesta,7112,2495,35.08
Campobello di Mazara,11793,4700,39.85
Castellammare del Golfo,14802,6023,40.69
Castelvetrano,28173,11611,41.21
Custonaci,4793,2138,44.61
Erice,24527,11177,45.57
Favignana,4383,1535,35.02
Gibellina,4029,1876,46.56
Marsala,70000,32026,45.75
Mazara del Vallo,43522,21085,48.45
Paceco,9975,4942,49.54
Pantelleria,6504,2682,41.24
Partanna,10131,4406,43.49
Petrosino,6585,3344,50.78
Poggioreale,1670,696,41.68
Salaparuta,1835,788,42.94
Salemi,10122,4894,48.35
San Vito Lo Capo,5212,1732,33.23
Santa Ninfa,4491,2485,55.33
Trapani,59878,26075,43.55
Valderice,10605,5341,50.36
Vita,2017,891,44.17
