provincia,elettori,votanti,percentuale
Agrigento,483996,146109,30.19
Caltanissetta,278371,83355,29.94
Catania,986286,392052,39.75
Enna,201380,54830,27.23
Messina,586346,241020,41.11
Palermo,1112320,404270,36.34
Ragusa,267567,100600,37.6
Siracusa,359715,138193,38.42
Trapani,385130,138130,35.87
