comune,elettori,votanti,percentuale
Acate,7109,2503,35.21
Chiaramonte Gulfi,7526,2612,34.71
Comiso,25939,9991,38.52
Giarratana,3440,1156,33.6
Ispica,13787,5492,39.83
Modica,47024,19233,40.9
Monterosso Almo,3172,1016,32.03
Pozzallo,17447,6023,34.52
Ragusa,61957,25108,40.52
Santa Croce Camerina,7947,2772,34.88
Scicli,21962,8703,39.63
Vittoria,50257,15991,31.82
