comune,elettori,votanti,percentuale
Acquaviva Platani,3110,100,3.22
Bompensiere,1135,52,4.58
Butera,5874,400,6.81
Caltanissetta,56558,7380,13.05
Campofranco,3201,260,8.12
Delia,6971,360,5.16
Gela,65937,6243,9.47
Marianopoli,2154,80,3.71
Mazzarino,11939,981,8.22
Milena,3867,266,6.88
Montedoro,2846,129,4.53
Mussomeli,11703,1135,9.7
Niscemi,25199,1800,7.14
Resuttano,2632,114,4.33
Riesi,15297,745,4.87
San Cataldo,24941,2077,8.33
Santa Caterina Villarmosa,6889,426,6.18
Serradifalco,8631,848,9.83
Sommatino,11345,446,3.93
Sutera,2726,154,5.65
Vallelunga Pratameno,3491,170,4.87
Villalba,1925,132,6.86
