comune,elettori,votanti,percentuale
Alia,4200,238,5.67
Alimena,2614,194,7.42
Aliminusa,1117,60,5.37
Altavilla Milicia,7710,890,11.54
Altofonte,8492,799,9.41
Bagheria,49036,5513,11.24
Balestrate,8005,722,9.02
Baucina,2060,179,8.69
Belmonte Mezzagno,9127,713,7.81
Bisacquino,5585,481,8.61
Blufi,1157,81,7
Bolognetta,3653,294,8.05
Bompietro,1565,142,9.07
Borgetto,7602,609,8.01
Caccamo,7485,718,9.59
Caltavuturo,3542,291,8.22
Campofelice di Fitalia,531,40,7.53
Campofelice di Roccella,6813,886,13
Campofiorito,1593,105,6.59
Camporeale,3083,206,6.68
Capaci,10448,1114,10.66
Carini,34756,2990,8.6
Castelbuono,8180,616,7.53
Casteldaccia,9965,1308,13.13
Castellana Sicula,3413,235,6.89
Castronovo di Sicilia,2930,267,9.11
Cefalà Diana,978,88,9
Cefalù,13829,1678,12.13
Cerda,4356,423,9.71
Chiusa Sclafani,3072,251,8.17
Ciminna,5167,293,5.67
Cinisi,11742,1264,10.76
Collesano,4024,366,9.1
Contessa Entellina,2083,142,6.82
Corleone,10798,744,6.89
Ficarazzi,10638,1260,11.84
Gangi,8447,912,10.8
Geraci Siculo,1656,162,9.78
Giardinello,2059,160,7.77
Giuliana,1882,160,8.5
Godrano,1078,96,8.91
Gratteri,917,72,7.85
Isnello,1579,143,9.06
Isola delle Femmine,6119,817,13.35
Lascari,3300,374,11.33
Lercara Friddi,12102,481,3.97
Marineo,5961,591,9.91
Mezzojuso,2737,274,10.01
Misilmeri,23963,2265,9.45
Monreale,32678,3784,11.58
Montelepre,5880,516,8.78
Montemaggiore Belsito,3109,214,6.88
Palazzo Adriano,2068,164,7.93
Palermo,556900,73721,13.24
Partinico,28566,2503,8.76
Petralia Soprana,3019,304,10.07
Petralia Sottana,2917,291,9.98
Piana degli Albanesi,5738,486,8.47
Polizzi Generosa,3459,279,8.07
Pollina,3686,355,9.63
Prizzi,4497,365,8.12
Roccamena,1815,81,4.46
Roccapalumba,3337,115,3.45
San Cipirello,4983,444,8.91
San Giuseppe Jato,8387,548,6.53
San Mauro Castelverde,1975,120,6.08
Santa Cristina Gela,1073,137,12.77
Santa Flavia,10167,1158,11.39
Sciara,2705,222,8.21
Scillato,622,80,12.86
Sclafani Bagni,393,38,9.67
Termini Imerese,23322,2763,11.85
Terrasini,11627,1217,10.47
Torretta,4467,355,7.95
Trabia,9150,1045,11.42
Trappeto,3755,248,6.6
Ustica,1218,207,17
Valledolmo,3617,204,5.64
Ventimiglia di Sicilia,2242,201,8.97
Vicari,2786,146,5.24
Villabate,16077,1551,9.65
Villafrati,2936,246,8.38
