comune,elettori,votanti,percentuale
Agira,10561,627,5.94
Aidone,6581,343,5.21
Assoro,5564,538,9.67
Barrafranca,17119,849,4.96
Calascibetta,6123,396,6.47
Catenanuova,5448,423,7.76
Centuripe,6996,572,8.18
Cerami,3023,188,6.22
Enna,26872,2834,10.55
Gagliano Castelferrato,3702,230,6.21
Leonforte,15597,1175,7.53
Nicosia,14171,1187,8.38
Nissoria,4171,323,7.74
Piazza Armerina,22947,2170,9.46
Pietraperzia,10531,526,4.99
Regalbuto,9776,539,5.51
Sperlinga,901,80,8.88
Troina,9788,913,9.33
Valguarnera Caropepe,12819,688,5.37
Villarosa,8690,367,4.22
