comune,elettori,votanti,percentuale
Aci Bonaccorsi,2915,1869,64.12
Aci Castello,16193,9349,57.73
Aci Catena,24140,13851,57.38
Aci Sant'Antonio,14956,8858,59.23
Acireale,45765,27279,59.61
Adrano,35534,14857,41.81
Belpasso,22848,13285,58.15
Biancavilla,21537,10443,48.49
Bronte,19007,8999,47.35
Calatabiano,5362,2266,42.26
Caltagirone,34842,16888,48.47
Camporotondo Etneo,3968,2639,66.51
Castel di Judica,4280,2493,58.25
Castiglione di Sicilia,4186,1487,35.52
Catania,264764,131054,49.5
Fiumefreddo di Sicilia,9054,4098,45.26
Giarre,24910,12859,51.62
Grammichele,14235,5748,40.38
Gravina di Catania,21784,12524,57.49
Licodia Eubea,3582,1126,31.43
Linguaglossa,5435,2635,48.48
Maletto,4702,1946,41.39
Maniace,2969,2071,69.75
Mascali,12613,6671,52.89
Mascalucia,26121,15297,58.56
Mazzarrone,2972,1341,45.12
Militello in Val di Catania,8196,4101,50.04
Milo,1032,563,54.55
Mineo,7408,2356,31.8
Mirabella Imbaccari,9153,2379,25.99
Misterbianco,40255,21413,53.19
Motta Sant'Anastasia,9749,5818,59.68
Nicolosi,6361,3773,59.31
Palagonia,15586,6337,40.66
Paternò,41325,21322,51.6
Pedara,12103,7666,63.34
Piedimonte Etneo,4500,2039,45.31
Raddusa,3834,1625,42.38
Ragalna,3330,2190,65.77
Ramacca,10294,4929,47.88
Randazzo,11634,5362,46.09
Riposto,13699,6560,47.89
San Cono,3536,1193,33.74
San Giovanni La Punta,19290,12322,63.88
San Gregorio di Catania,9886,6386,64.6
San Michele di Ganzaria,4291,1383,32.23
San Pietro Clarenza,6260,3836,61.28
Sant'Agata Li Battiati,8228,5214,63.37
Sant'Alfio,1647,779,47.3
Santa Maria di Licodia,6613,3514,53.14
Santa Venerina,7332,4431,60.43
Scordia,16033,7394,46.12
Trecastagni,9044,5458,60.35
Tremestieri Etneo,17106,10456,61.12
Valverde,6489,3926,60.5
Viagrande,7176,4208,58.64
Vizzini,7955,2942,36.98
Zafferana Etnea,8267,4727,57.18
