provincia,elettori,votanti,percentuale
Agrigento,483996,191787,39.63
Caltanissetta,278371,110869,39.83
Catania,986286,508497,51.56
Enna,201380,75876,37.68
Messina,586346,303116,51.7
Palermo,1112320,516187,46.41
Ragusa,267567,127057,47.49
Siracusa,359715,171060,47.55
Trapani,385130,174971,45.43
