comune,elettori,votanti,percentuale
Acquedolci,4980,528,10.6
Alcara Li Fusi,2443,209,8.56
Alì,948,81,8.54
Alì Terme,2286,306,13.39
Antillo,904,146,16.15
Barcellona Pozzo di Gotto,36824,4424,12.01
Basicò,1349,49,3.63
Brolo,5077,825,16.25
Capizzi,3542,331,9.35
Capo d'Orlando,12957,1471,11.35
Caprileone,4233,553,13.06
Caronia,3225,315,9.77
Casalvecchio Siculo,950,77,8.11
Castel Di Lucio,1953,95,4.86
Castell'Umberto,2993,266,8.89
Castelmola,1012,133,13.14
Castroreale,2420,182,7.52
Cesarò,2604,142,5.45
Condrò,524,66,12.6
Falcone,3298,323,9.79
Ficarra,1487,150,10.09
Fiumedinisi,1450,97,6.69
Floresta,426,65,15.26
Fondachelli Fantina,1011,179,17.71
Forza d'Agrò,1004,85,8.47
Francavilla Di Sicilia,4320,350,8.1
Frazzanò,866,31,3.58
Furci Siculo,3114,529,16.99
Furnari,4241,351,8.28
Gaggi,3008,291,9.67
Galati Mamertino,2645,305,11.53
Gallodoro,418,33,7.89
Giardini Naxos,9053,1091,12.05
Gioiosa Marea,6741,785,11.65
Graniti,1633,181,11.08
Gualtieri Sicaminò,1816,209,11.51
Itala,1455,197,13.54
Leni,759,35,4.61
Letojanni,2442,348,14.25
Librizzi,1952,135,6.92
Limina,1658,97,5.85
Lipari,12296,1114,9.06
Longi,1434,134,9.34
Malfa,999,75,7.51
Malvagna,884,56,6.33
Mandanici,722,86,11.91
Mazzarrà Sant'Andrea,1507,241,15.99
Merì,2058,236,11.47
Messina,197470,29421,14.9
Milazzo,27782,3619,13.03
Militello Rosmarino,1197,124,10.36
Mirto,1174,83,7.07
Mistretta,4612,444,9.63
Moio Alcantara,728,62,8.52
Monforte San Giorgio,2976,265,8.9
Mongiuffi Melia,573,89,15.53
Montagnareale,1558,197,12.64
Montalbano Elicona,2659,228,8.57
Motta Camastra,1170,98,8.38
Motta d'Affermo,806,90,11.17
Naso,5024,248,4.94
Nizza Di Sicilia,3530,453,12.83
Novara Di Sicilia,1758,156,8.87
Oliveri,2542,317,12.47
Pace del Mela,5435,674,12.4
Pagliara,1205,152,12.61
Patti,11893,1369,11.51
Pettineo,2681,107,3.99
Piraino,3775,386,10.23
Raccuja,1056,115,10.89
Reitano,811,85,10.48
Roccafiorita,248,19,7.66
Roccalumera,3786,527,13.92
Roccavaldina,1198,93,7.76
Roccella Valdemone,796,30,3.77
Rodì Milici,2073,162,7.81
Rometta,5918,857,14.48
San Filippo del Mela,6307,613,9.72
San Fratello,3676,266,7.24
San Marco d'Alunzio,2113,176,8.33
San Pier Niceto,3572,323,9.04
San Piero Patti,3283,213,6.49
San Salvatore di Fitalia,1583,133,8.4
San Teodoro,1314,129,9.82
Sant'Agata di Militello,11365,1440,12.67
Sant'Alessio Siculo,1419,188,13.25
Sant'Angelo di Brolo,3405,321,9.43
Santa Domenica Vittoria,883,99,11.21
Santa Lucia del Mela,4467,446,9.98
Santa Marina Salina,1044,110,10.54
Santa Teresa di Riva,8453,1278,15.12
Santo Stefano di Camastra,4394,524,11.93
Saponara,3652,354,9.69
Savoca,1580,132,8.35
Scaletta Zanclea,2129,263,12.35
Sinagra,3025,290,9.59
Spadafora,4826,679,14.07
Taormina,9723,1398,14.38
Terme Vigliatore,6587,668,10.14
Torregrotta,6735,731,10.85
Torrenova,4104,529,12.89
Tortorici,6018,526,8.74
Tripi,1728,85,4.92
Tusa,3159,237,7.5
Ucria,1184,87,7.35
Valdina,1175,147,12.51
Venetico,3447,481,13.95
Villafranca Tirrena,7641,1126,14.74
