comune,elettori,votanti,percentuale
Augusta,32285,4765,14.76
Avola,27741,2950,10.63
Buccheri,2734,103,3.77
Buscemi,1121,128,11.42
Canicattini Bagni,7143,866,12.12
Carlentini,15688,1854,11.82
Cassaro,904,80,8.85
Ferla,2506,175,6.98
Floridia,19821,2407,12.14
Francofonte,12619,1045,8.28
Lentini,21896,2403,10.97
Melilli,12220,1806,14.78
Noto,20851,2311,11.08
Pachino,20987,1914,9.12
Palazzolo Acreide,8635,896,10.38
Portopalo di Capo Passero,3380,518,15.33
Priolo Gargallo,10244,1698,16.58
Rosolini,19862,2090,10.52
Siracusa,103322,14442,13.98
Solarino,7548,632,8.37
Sortino,8208,900,10.96
