numeroCandidato|siglaCandidato|nomeCandidato
1|Abbruscato L.|Abbruscato Lorenza detta Lorella
2|Di Giacinto G.|Di Giacinto Giovanni detto Giacinto
3|Lo Giudice S.|Lo Giudice Salvatore detto Salvo, Totò
4|Tamajo E.|Tamajo Edmondo detto Edy, Tamaio
5|Bonanno C.|Bonanno Claudia
6|Brusca S.|Brusca Salvatore
7|Coniglio C.|Coniglio Ciro
8|Giambona A.|Giambona Antonina
9|Gnoffo A.|Gnoffo Antonino
10|Landolina F.|Landolina Filippo
11|Mosca G.|Mosca Giuseppa detta Giusy
12|Puleo M.|Puleo Maria Rita
13|Rini S.|Rini Salvatore
14|Sottile V.|Sottile Vincenzo
15|Tomasino M.|Tomasino Maria Chiara detta Tomasina
16|Volante C.|Volante Claudio
