sezione,votanti,ubicazione,numeroElettori,affluenzaPercentuale
508,361,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",705,51.2056737589
535,506,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",995,50.8542713568
558,437,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",863,50.6373117034
141,350,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",698,50.1432664756
576,428,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",858,49.8834498834
428,418,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",838,49.8806682578
577,418,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",840,49.7619047619
153,505,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",1017,49.6558505408
191,467,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",943,49.5227995758
106,464,"SCUOLA PRIMARIA ""SAN LORENZO"" VIA S.LORENZO N.89",937,49.5197438634
293,343,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",694,49.4236311239
52,398,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",808,49.2574257426
210,471,"SCUOLA PRIMARIA ""SAN LORENZO"" VIA S.LORENZO N.89",958,49.1649269311
404,342,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",696,49.1379310345
436,445,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",908,49.0088105727
145,356,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",727,48.9683631362
346,382,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",782,48.8491048593
526,493,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1011,48.7636003956
176,435,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",893,48.712206047
21,492,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",1011,48.6646884273
506,347,"SCUOLA PRIMARIA ""SUNSERI"" VIA SUNSERI GIUSEPPE N.19",718,48.3286908078
88,433,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",897,48.2720178372
328,443,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",919,48.204570185
185,419,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",870,48.1609195402
407,376,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",781,48.1434058899
137,353,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",735,48.0272108844
209,364,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",758,48.0211081794
68,506,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1055,47.9620853081
358,397,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",828,47.9468599034
452,464,"SCUOLA PRIMARIA ""BERNINI"" VIA PAPALEO PIETRO N.8",968,47.9338842975
178,510,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",1064,47.9323308271
555,444,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",928,47.8448275862
501,471,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",987,47.7203647416
363,475,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",998,47.5951903808
97,468,"SCUOLA PRIMARIA ""UMBERTO GIORDANO"" VIA DAIDONE N.24",985,47.5126903553
143,337,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",711,47.3980309423
513,392,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",829,47.2858866104
392,506,"SCUOLA PRIMARIA ""ROSARIO GREGORIO"" VIA MARINAI ALLIATA N.33",1077,46.982358403
48,478,"SCUOLA DELL'INFANZIA ""PALADINI"" PIAZZA CELLINI BENVENUTO N.4",1025,46.6341463415
116,427,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",919,46.4635473341
180,351,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",756,46.4285714286
466,483,"SCUOLA PRIMARIA ""ROSARIO GREGORIO"" VIA MARINAI ALLIATA N.33",1041,46.3976945245
517,367,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",791,46.396965866
183,338,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",729,46.3648834019
177,401,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",865,46.3583815029
165,362,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",781,46.3508322663
310,345,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",745,46.3087248322
34,445,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",961,46.3059313215
568,522,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",1130,46.1946902655
144,446,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",967,46.1220268873
365,350,"SCUOLA PRIMARIA ""SUNSERI"" VIA SUNSERI GIUSEPPE N.19",761,45.9921156373
