sezione|votanti|ubicazione|numeroElettori
67|29|ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B|789
68|210|SCUOLA DELL'INFANZIA "TOMASELLI" VIA ABRUZZI N.2|1055
69|128|SCUOLA PRIMARIA "CAVALLARI" CORSO DEI MILLE N.793|1040
70|135|SCUOLA PRIMARIA "MONTEGRAPPA" VIA ROCCELLA GUSTAVO N.37|793
71|96|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|1014
72|77|SCUOLA PRIMARIA "TURRISI COLONNA" PIAZZA GRAN CANCELLIERE N.1|1185
73|93|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|850
74|125|SCUOLA PRIMARIA "MANTEGNA" VIA BOLOGNI N.4|1044
75|80|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|885
76|110|SCUOLA PRIMARIA "TURRISI COLONNA" PIAZZA GRAN CANCELLIERE N.1|1123
77|119|SCUOLA PRIMARIA "BERNINI" VIA PAPALEO PIETRO N.8|654
78|141|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.2 VIA BARISANO DA TRANI N.7|914
79|132|SCUOLA DELL'INFANZIA "JACK LONDON" VIA LONDON JACK N.1/A|1067
80|143|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|1060
81|164|SCUOLA PRIMARIA "SAN LORENZO" VIA S.LORENZO N.89|925
82|89|SCUOLA ELEMENTARE "MANCINO" VIA BELMONTE CHIAVELLI N.111/D|1195
83|118|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1235
84|152|SCUOLA DELL'INFANZIA "JACK LONDON" VIA LONDON JACK N.1/A|957
85|83|ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B|918
86|145|SCUOLA PRIMARIA "PAULSEN" P.LE CARPINO FRANCESCO CARD. N.3|1093
87|152|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|865
88|175|SCUOLA PRIMARIA "BRAGAGLIA" VIA BRAGAGLIA MARINELLA N.23|897
89|70|SCUOLA PRIMARIA E DELL'INF. "NUCCIO" VIA MONGITORE ANTONINO N.4|809
90|146|SCUOLA PRIMARIA "SALGARI" VIA PARATORE GIUSEPPE N.34|917
91|191|SCUOLA PRIMARIA "PASCOLI" VIA NETTUNO N.7|1142
92|117|SCUOLA PRIMARIA "PALAGONIA" VIA PRINCIPE DI PALAGONIA N.46|853
93|137|SCUOLA SECOND.I GRADO "A.GRAMSCI" VIA ARCOLEO GIUSEPPE N.78|696
94|177|SCUOLA PRIMARIA "TRINACRIA" VIA TRINACRIA N.1|905
95|69|SCUOLA PRIMARIA E DELL'INF. "NUCCIO" VIA MONGITORE ANTONINO N.4|794
96|170|SCUOLA PRIMARIA "G.FAVA" VIA MONTE S.CALOGERO N.20|804
97|172|SCUOLA PRIMARIA "UMBERTO GIORDANO" VIA DAIDONE N.24|985
98|50|SCUOLA PRIMARIA E DELL'INF. "NUCCIO" VIA MONGITORE ANTONINO N.4|774
99|118|SCUOLA PRIMARIA "SALGARI" VIA PARATORE GIUSEPPE N.34|995
100|154|SCUOLA PRIMARIA "D'ANGELO PAOLO EMILIO" VIA S.LORENZO N.295|972
101|114|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|1073
102|147|SCUOLA SECOND.I GRADO "DANTE ALIGHIERI" VIA MARTURANO RUGGERO N.79|864
103|120|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1132
104|162|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|949
105|70|SCUOLA PRIMARIA E DELL'INF. "SALERNO" VIA SALERNO N.19|832
106|201|SCUOLA PRIMARIA "SAN LORENZO" VIA S.LORENZO N.89|937
107|128|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.2 VIA BARISANO DA TRANI N.7|889
108|138|SCUOLA PRIMARIA E DELL'INF. "SALERNO" VIA SALERNO N.19|1067
109|132|SCUOLA PRIMARIA "COLLODI" VIA BRIUCCIA N.89|725
110|127|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|902
111|95|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|829
112|111|SCUOLA PRIM. E DELL'INFANZ."L.SCIASCIA" VIA SMITH ADAMO N.19|983
113|141|SCUOLA ELEMENTARE "CASTROGIOVANNI" VIA CRISTODULO AMMMIRAGLIO N.3|1017
114|63|ISTITUTO MAGISTRALE REGINA MARGHERITA PIAZZA CASA PROFESSA N.3/B|853
115|53|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|760
116|157|SCUOLA PRIMARIA "LA MASA" VIA LA MASA GIUSEPPE N.17|919
117|165|SCUOLA PRIMARIA "LA MASA" VIA LA MASA GIUSEPPE N.17|934
118|166|SCUOLA PRIMARIA "LA MASA" VIA LA MASA GIUSEPPE N.17|934
119|108|SCUOLA PRIMARIA "LA MASA" VIA LA MASA GIUSEPPE N.17|864
120|119|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|893
121|109|SCUOLA PRIMARIA "MONTEGRAPPA" VIA ROCCELLA GUSTAVO N.37|877
122|161|SCUOLA PRIMARIA "LA MASA" VIA LA MASA GIUSEPPE N.17|952
123|124|SCUOLA PRIMARIA "MONTEGRAPPA" VIA ROCCELLA GUSTAVO N.37|868
124|123|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|824
125|130|SCUOLA SECOND. DI I GRADO "MATTARELLA" VIA BONAGIA N.14|921
126|84|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|1033
127|139|SCUOLA ELEMENTARE "CASTROGIOVANNI" VIA CRISTODULO AMMMIRAGLIO N.3|1195
128|190|SCUOLA SECOND.I GRADO "ARCHIMEDE" PIAZZA CASTELNUOVO N.40|966
129|75|SCUOLA SEC.I GR."PR.SSA ELENA DI NAPOLI" VIA USTICA N.46|1069
130|108|SCUOLA PRIMARIA "NATOLI" CORSO DEI MILLE N.1486|883
131|102|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|824
132|146|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|1167
133|87|SCUOLA PRIM.E DELL'INF."BAVIERA" VIA BAVIERA GIOVANNI N.22|723
134|128|SCUOLA PRIMARIA "GABELLI" VIA EUGENIO L'EMIRO N.30|1029
135|92|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|1073
136|50|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|984
137|132|SCUOLA SECOND.I GRADO "V.E.ORLANDO" VIA LUSSEMBURGO N.103|735
138|101|SCUOLA PRIMARIA "NATOLI" CORSO DEI MILLE N.1486|1140
139|93|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|1007
140|86|SCUOLA SECONDARIA I GRADO "FEDERICO II" VIA PIER DELLE VIGNE N.13|1061
141|121|SCUOLA SECOND.I GRADO "V.E.ORLANDO" VIA LUSSEMBURGO N.103|698
142|185|SCUOLA SECOND.I GR."GARIBALDI" VIA DELLE CROCI N.5|1080
143|169|SCUOLA SECOND.I GRADO "V.E.ORLANDO" VIA LUSSEMBURGO N.103|711
144|185|SCUOLA PRIMARIA "COLLODI" VIA BRIUCCIA N.89|967
145|127|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|727
146|123|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|1708
147|179|DIREZIONE DIDATTICA "DE GASPERI" PIAZZA GIOVANNI PAOLO II PAPA N.24|911
148|189|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|982
149|160|SCUOLA PRIMARIA "G.FAVA" VIA MONTE S.CALOGERO N.20|825
150|108|SCUOLA SECOND.I GR."LEONARDO DA VINCI" VIA SERRADIFALCO N.190|890
151|94|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|675
152|103|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|873
153|191|SCUOLA PRIMARIA "GIOVANNI XXIII" VIA SAMPOLO N.63|1017
154|94|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|968
155|101|SCUOLA PRIMARIA "F.CRISPI" INGR.PAD.1 VIA BARISANO DA TRANI N.7|873
156|118|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|955
157|154|SCUOLA SECOND. DI I GRADO "VERDI" VIA FERMI ENRICO N.2|734
158|96|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|876
159|85|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|922
160|88|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|867
161|150|SCUOLA SECOND.I GRADO "DANTE ALIGHIERI" VIA MARTURANO RUGGERO N.79|829
162|85|SCUOLA SECOND.I GRADO "DANTE ALIGHIERI" VIA MARTURANO RUGGERO N.79|817
163|161|SCUOLA PRIMARIA "IGNAZIO BUTTITTA" VIA CIMABUE GIOVANNI N.20|1118
164|83|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|934
165|109|SCUOLA SECOND.I GR. "LEONARDO DA VINCI" VIA DI GIORGI FERDINANDO N.48|781
166|132|SCUOLA PRIMARIA "MARVUGLIA" VIA RALLO ALBERTO N.9|932
167|133|SCUOLA PRIM.E DELL'INF."CASTELLANA" VIA CASTELLANA N.40|955
168|149|SCUOLA PRIMARIA "UMBERTO GIORDANO" VIA DAIDONE N.24|857
169|161|SCUOLA SECOND.I GRADO "DANTE ALIGHIERI" VIA MARTURANO RUGGERO N.79|877
170|154|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|1103
171|175|SCUOLA SECOND.I GRADO "GENTILI" VIA LO JACONO FRANCESCO N.1|1021
172|177|SCUOLA SECOND. DI I GRADO "PIAZZI" VIA RUTELLI MARIO N.50|1015
173|167|SCUOLA SECOND.I GRADO "GENTILI" VIA LO JACONO FRANCESCO N.1|907
174|190|SCUOLA PRIMARIA "BORSELLINO" VIA GIOTTO N.41|891
175|124|SCUOLA PRIMARIA "G. COSTA" VIA UGHETTI GIOVANBATTISTA N.27|963
176|188|SCUOLA PRIMARIA "ALMEJDA - PITRE'" VIA DAMIANI ALMEJDA N.27|893
177|170|SCUOLA PRIMARIA "RAPISARDI" VIA CALTANISSETTA N.27|865
