numeroCandidato|siglaCandidato|nomeCandidato
1|Lagalla R.|Lagalla Roberto detto La Galla
2|Cordaro S.|Cordaro Salvatore detto Toto, Totò
3|Clemente R.|Clemente Roberto Saverio detto Roberto
4|Amato C.|Amato Carmela
5|Bellotti S.|Bellotti Simonetta
6|Calia A.|Calia Antonino detto Antonello
7|Carcione S.|Carcione Serafina
8|Cianciolo A.|Cianciolo Antonino
9|Di Natale S.|Di Natale Santa detta Sandy, Sendi
10|Fricano G.|Fricano Gioacchino
11|La Mandina L.|La Mandina Lucia
12|Manzella M.|Manzella Maurizio
13|Meli G.|Meli Giovanni Battista
14|Musso F.|Musso Francesco
15|Puleo A.|Puleo Alessandro
16|Tripoli F.|Tripoli Filippo Maria detto Filippo
