numeroCandidato|siglaCandidato|nomeCandidato
1|Micciché G.|Micciché Giovanni detto Gianfranco
2|Milazzo G.|Milazzo Giuseppe
3|Savona R.|Savona Riccardo
4|Lentini S.|Lentini Salvatore detto Totò
5|Caronia M.|Caronia Maria Anna detta Marianna
6|Tricoli M.|Tricoli Marcello detto Tripoli
7|Musso M.|Musso Maurizio Mario
8|Gottuso P.|Gottuso Pietro
9|Gargano T.|Gargano Tommaso detto Massimo
10|Garonna P.|Garonna Pietro detto Piero, Armao
11|Di Marco M.|Di Marco Maria Concetta detta Marina
12|Figuccia O.|Figuccia Onofrio detto Vincenzo
13|Piazza V.|Piazza Valeria
14|Pivetti Gagliardi M.|Pivetti Gagliardi Michele detto Pivetti
15|Sapienza S.|Sapienza Sara Valeria
16|Ventimiglia G.|Ventimiglia Grazia
