numeroCandidato|siglaCandidato|nomeCandidato
1|Figuccia V.|Figuccia Vincenzo
2|Alongi P.|Alongi Pietro
3|Aulicino A.|Aulicino Armando
4|D'Ancona N.|D'Ancona Nicola detto Nico
5|Di Carlo S.|Di Carlo Salvatore
6|Di Gaudio F.|Di Gaudio Francesca
7|Flauto M.|Flauto Michele
8|Fontanini A.|Fontanini Alessandro
9|Gennuso A.|Gennuso Alessandra
10|Giotti A.|Giotti Antonella
11|Greco N.|Greco Nicola detto Giovanni
12|Lo Proto R.|Lo Proto Rosario detto Lo Porto, Proto
13|Mancusa G.|Mancusa Gianluca
14|Odoroso F.|Odoroso Flavia
15|Scibilia F.|Scibilia Federica detta Freddie
16|Trapani I.|Trapani Ivan detto Cateno
