numeroCandidato|siglaCandidato|nomeCandidato
1|Ajovalasit P.|Ajovalasit Patrizia detta Patrizia, Patti
2|Alotta S.|Alotta Salvatore detto Salvo, Allotta
3|Anselmo A.|Anselmo Alice detta Anzelmo, Anselmi, Anzelmi
4|Anzalone M.|Anzalone Michele Maria detto Michele
5|Catalano G.|Catalano Giovanni Lorenzo detto Lorenzo, Lori
6|Chiaramonte P.|Chiaramonte Paolo
7|Cracolici A.|Cracolici Antonino detto Antonello
8|Di Liberto F.|Di Liberto Felice detto Valerio
9|Ferrara F.|Ferrara Fabrizio detto Ferraro
10|Licciardi A.|Licciardi Attilio
11|Liotta G.|Liotta Gaetana
12|Lo Biundo S.|Lo Biundo Salvatore detto Salvo, Biundo
13|Lupo G.|Lupo Giuseppe detto Peppino
14|Marino M.|Marino Maria Rubina
15|Re N.|Re Natalia detta Natalia
16|Sudano V.|Sudano Valeria Carmela Maria
