numeroCandidato|siglaCandidato|nomeCandidato
1|Mangano C.|Mangano Carmencita detta Carmensita, Carmen, Carmenzita
2|Latteri M.|Latteri Mario detto Adelfio
3|Caracausi P.|Caracausi Paolo
4|Scarpinato F.|Scarpinato Francesco Paolo
5|Nasca M.|Nasca Michelangelo detto Michele, Nasta
6|Bono G.|Bono Giuseppe
7|Bonanno C.|Bonanno Cristina detta Buonanno
8|Callipari R.|Callipari Rosario detto Calipari, Gallipari
9|La Rosa S.|La Rosa Salvatore
10|Lo Piccolo S.|Lo Piccolo Stefano Silvio detto Stefano
11|Ludovico D.|Ludovico Daniela
12|Napoli F.|Napoli Filippo
13|Perricone M.|Perricone Monica
14|Pilato L.|Pilato Laura
15|Reale S.|Reale Stefano
16|Vallone A.|Vallone Antonino detto Nino
