sezione,votanti,votantiUomini,votantiDonne,ubicazione,numeroElettori,affluenzaPercentuale
224,224,0,0,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",876,25.5707762557
143,169,0,0,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",711,23.7693389592
576,195,0,0,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",858,22.7272727273
293,154,0,0,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",694,22.1902017291
429,214,0,0,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",992,21.5725806452
106,201,0,0,"SCUOLA PRIMARIA ""SAN LORENZO"" VIA S.LORENZO N.89",937,21.4514407684
405,204,0,0,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",951,21.4511041009
174,190,0,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",891,21.3243546577
216,211,0,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",994,21.2273641851
96,170,0,0,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",804,21.144278607
508,149,0,0,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",705,21.134751773
513,175,0,0,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",829,21.1097708082
176,188,0,0,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",893,21.0526315789
157,154,0,0,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",734,20.9809264305
404,146,0,0,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",696,20.9770114943
428,174,0,0,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",838,20.7637231504
296,165,0,0,"SCUOLA PRIM.E DELL'INFANZ.""LAMBRUSCHINI"" VIA DON GIOVANNI MINZONI N.1",802,20.5735660848
479,188,0,0,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",923,20.3683640303
533,171,0,0,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",847,20.1889020071
346,157,0,0,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",782,20.0767263427
26,155,0,0,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",777,19.9485199485
573,184,0,0,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",924,19.9134199134
68,210,0,0,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1055,19.9052132701
353,163,0,0,"SCUOLA PRIMARIA ""DONAUDY"" PIAZZA DONAUDY STEFANO N.16",820,19.8780487805
