numeroCandidato|siglaCandidato|nomeCandidato
1|Ajello M.|Ajello Mario
2|Alagna L.|Alagna Leonardo detto Leo
3|Aluzzo F.|Aluzzo Federica
4|Apprendi G.|Apprendi Giuseppe detto Pino
5|Carollo L.|Carollo Luigi
6|D'Agostino G.|D'Agostino Giovanni
7|Di Gesaro G.|Di Gesaro Giuseppe detto Pino
8|Evola V.|Evola Vincenzo detto Enzo
9|Fava G.|Fava Giovanni Giuseppe Claudio detto Claudio Fava
10|Gattuso F.|Gattuso Fabiana
11|Maggio M.|Maggio Maria Leonarda detta Mariella
12|Mastrosimone C.|Mastrosimone Caterina
13|Navarra O.|Navarra Ottavio
14|Puleo C.|Puleo Calogero detto Lillo
15|Spallitta S.|Spallitta Sonia
16|Troia G.|Troia Giovanni
