numeroCandidato|siglaCandidato|nomeCandidato
1|Trizzino G.|Trizzino Giampiero
2|Siragusa S.|Siragusa Salvatore detto Siracusa
3|Callea Q.|Callea Quarto Giovanni
4|Vilardi R.|Vilardi Rosa detta Rossella
5|Aiello D.|Aiello Davide
6|Sunseri L.|Sunseri Luigi
7|Moscarelli A.|Moscarelli Angelo
8|Schembri L.|Schembri Lydia Angela
9|Schillaci R.|Schillaci Roberta
10|Trifirò C.|Trifirò Carmela
11|Parente A.|Parente Antonio
12|Favuzza E.|Favuzza Erika
13|Listì M.|Listì Maman Alì detto Alì, Ali, Listì, Listi, Maman
14|Li Destri G.|Li Destri Giacomo
15|Lo Bianco R.|Lo Bianco Rosaria detta Rossella, detta Bianco
16|Cimò G.|Cimò Gianluca
