sezione,votanti,votantiUomini,votantiDonne,ubicazione,numeroElettori,affluenzaPercentuale
589,341,182,159,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",763,44.6920052425
186,352,168,184,"SCUOLA PRIMARIA ""OBERDAN"" VIA SPICA PIETRO N.5",788,44.6700507614
419,443,234,209,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",992,44.6572580645
536,360,191,169,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",807,44.6096654275
193,416,206,210,"SCUOLA PRIMARIA ""NICOLO' TURRISI"" PZZA ORLANDO VITTORIO EMANUELE N.3",933,44.5873526259
384,463,236,227,"SCUOLA DELL'INFANZIA ""JACK LONDON"" VIA LONDON JACK N.1/A",1039,44.562078922
319,442,223,219,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",993,44.5115810675
471,376,185,191,"SCUOLA PRIMARIA ""ETTORE ARCULEO"" VIA SCHIFANI VITO N.3",845,44.4970414201
226,392,201,191,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",881,44.494892168
359,422,221,201,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",949,44.4678609062
343,432,226,206,"SCUOLA PRIMARIA ""BORGO ULIVIA"" VIA ORTIGIA N.19",972,44.4444444444
377,493,271,222,"SCUOLA PRIMARIA ""MANTEGNA"" VIA BOLOGNI N.4",1110,44.4144144144
133,321,150,171,"SCUOLA PRIM.E DELL'INF.""BAVIERA"" VIA BAVIERA GIOVANNI N.22",723,44.398340249
408,426,221,205,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",962,44.2827442827
175,426,201,225,"SCUOLA PRIMARIA ""G. COSTA"" VIA UGHETTI GIOVANBATTISTA N.27",963,44.2367601246
314,437,236,201,"SCUOLA DELL'INFANZIA""PASS.DEI PICCIOTTI"" PASSAGGIO DEI PICCIOTTI N.3",989,44.1860465116
45,344,168,176,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",780,44.1025641026
28,390,205,185,"SCUOLA PRIMARIA ""BORSELLINO"" LARGO CAMASTRA N.4",885,44.0677966102
345,514,267,247,"SCUOLA ELEMENTARE ""MANCINO"" VIA BELMONTE CHIAVELLI N.111/D",1167,44.0445586975
596,342,179,163,"SCUOLA SECOND.I GR.""LEONARDO DA VINCI"" VIA SERRADIFALCO N.190",779,43.9024390244
437,469,244,225,"SCUOLA PRIMARIA ""VITALI"" VIA INSERRA N.1",1072,43.75
559,454,238,216,"SCUOLA SEC. 1Â° GRADO ""SALEMI"" VIA SALEMI FRANCESCO GEN. N.22",1040,43.6538461538
584,505,258,247,"SCUOLA ELEMENTARE ""CASTROGIOVANNI"" VIA CRISTODULO AMMMIRAGLIO N.3",1158,43.609671848
455,438,234,204,"SCUOLA SECOND.I GR.""TOMASI DI LAMPEDUSA"" VIALE LEONARDO DA VINCI N.504",1005,43.5820895522
110,393,214,179,"SCUOLA SECOND. DI I GRADO ""MATTARELLA"" VIA BONAGIA N.14",902,43.5698447894
325,498,258,240,"SCUOLA PRIMARIA ""RANDAZZO"" VIA SPERONE N.79",1145,43.4934497817
261,347,176,171,"SCUOLA PRIMARIA ""AMARI"" VIA INGRASSIA GIAN FILIPPO N.33",798,43.4837092732
234,414,217,197,"SCUOLA PRIM.E DELL'INFANZ.""BONANNO"" VIA PITRE' GIUSEPPE N.183",955,43.3507853403
311,435,237,198,"SCUOLA ELEMENTARE ""CASTROGIOVANNI"" VIA CRISTODULO AMMMIRAGLIO N.3",1005,43.2835820896
444,383,194,189,"SCUOLA PRIMARIA ""DE AMICIS E"" VIA SAURO NAZARIO N.11",885,43.2768361582
438,386,192,194,"SCUOLA DELL'INFANZIA ""PALADINI"" PIAZZA CELLINI BENVENUTO N.4",892,43.2735426009
221,369,176,193,"DIREZIONE DIDATTICA ""CAPUANA"" VIA NARBONE ALESSIO N.55",853,43.2590855803
489,469,240,229,"SCUOLA PRIMARIA ""BIXIO"" VIA CASSARO N.2",1085,43.2258064516
593,436,215,221,"SCUOLA PRIMARIA ""MEDAGLIE D'ORO"" VIA DEODATO PIER LUIGI N.7",1009,43.2111000991
449,362,186,176,"SCUOLA DELL'INFANZIA ""DIAZ VECCHIO"" VIA REGINA MARIA DI SICILIA N.7",839,43.1466030989
167,412,199,213,"SCUOLA PRIM.E DELL'INF.""CASTELLANA"" VIA CASTELLANA N.40",955,43.1413612565
121,378,186,192,"SCUOLA PRIMARIA ""MONTEGRAPPA"" VIA ROCCELLA GUSTAVO N.37",877,43.1014823261
509,414,213,201,"SCUOLA PRIMARIA ""F.SCO ORESTANO"" VIA S.CIRO N.48",964,42.9460580913
69,446,230,216,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",1040,42.8846153846
155,374,191,183,"SCUOLA PRIMARIA ""F.CRISPI"" INGR.PAD.1 VIA BARISANO DA TRANI N.7",873,42.8407789233
340,388,199,189,"SCUOLA SECOND.DI I GRADO ""MAZZINI"" VIA DE MARIA FEDERICO N.36",906,42.825607064
424,375,175,200,"SCUOLA PRIMARIA ""MARABITTI"" VIA SPEDALIERI NICOLO' N.52",876,42.8082191781
50,412,201,211,"SCUOLA PRIMARIA ""DE AMICIS E"" VIA SAURO NAZARIO N.11",965,42.6943005181
287,412,208,204,"SCUOLA PRIMARIA ""CAVALLARI"" CORSO DEI MILLE N.793",966,42.6501035197
156,407,208,199,"SCUOLA PRIMARIA ""MARVUGLIA"" VIA RALLO ALBERTO N.9",955,42.6178010471
